ID,sex,Aged,Married,TotalDependents,ServiceSpan,MobileService,4GService,CyberProtection,HardwareSupport,TechnicalAssistance,FilmSubscription,SettlementProcess,QuarterlyPayment,GrandPayment,CustomerAttrition
B60LHTZLLPFU4IULNPUF,Female,No,No,Yes,48,Yes,Wifi Broadband,No,Yes,Yes,No,Check,96.25980197,4628.129119,Yes
1RUJ7ONYZHYTWKOKO1SD,Male,No,Yes,No,45,Yes,Wifi Broadband,No,No,No,Yes,Bank,18.87647016,922.0859985,No
DZ9EEOQWSN0MYCBUPAM5,Male,Yes,Yes,No,59,Yes,Wifi Broadband,Yes,No,Yes,No,Card,106.0160571,6205.891129,Yes
YZ43L1UQUQACTL1PXXZG,Male,No,No,No,14,Yes,Wifi Broadband,No,No,No,No,Check,80.10883859,1248.655391,No
6P28152QGF60PDLSCB9M,Female,No,Yes,Yes,25,Yes,Wifi Broadband,No,Yes,No,Yes,Check,51.52977334,1285.321277,No
60DE6HXH6KQRETDXAHLK,Male,No,Yes,Yes,27,Yes,Satellite Broadband,Yes,No,No,Yes,Card,96.38427494,2650.779905,Yes
7GOZ81H8YZXQ3YPMZEB0,Male,Yes,Yes,No,53,Yes,Wifi Broadband,No,No,No,No,Check,17.29132478,1032.254126,No
LTKNFUXFICQI8MSX5RWI,Female,Yes,No,Yes,0,Yes,Wifi Broadband,No,No,No,No,Electronic,70.06280815,70.93434511,Yes
RWYOSHJ90GB50Q93G877,Male,No,No,No,1,Yes,Wifi Broadband,No,No,No,No,Electronic,70.1136612,134.8804291,No
4MH18O0I7LEW5BRRITY3,Female,No,No,No,46,Yes,Wifi Broadband,Yes,Yes,Yes,No,Card,112.7407804,5032.993657,No
XSOJ66P9GCQB2SEUCRT1,Female,No,Yes,No,67,Yes,Satellite Broadband,No,Yes,Yes,Yes,Bank,89.50632526,6131.923004,No
TQJIZOEF3M1X2R1NEZ4L,Male,No,Yes,Yes,24,Yes,Satellite Broadband,No,No,No,No,Bank,25.61021984,587.2039393,No
D9TBRQBIYP5KC5QH8YRO,Male,No,Yes,No,61,No,Wifi Broadband,No,Yes,Yes,No,Card,59.47529161,3604.443655,No
QQN1FG8BU3XGBWXFAYZ4,Male,No,No,No,54,Yes,Wifi Broadband,No,Yes,Yes,No,Card,55.10455671,3046.121901,No
C0PPN4XU3EAOA0WW3HSF,Male,No,No,No,59,Yes,No,Yes,Yes,No,Yes,Bank,40.89261451,2422.758991,No
RPRQJQL4AC84390GLPH7,Female,No,Yes,No,9,Yes,Satellite Broadband,No,No,Yes,No,Electronic,90.49360379,743.5017708,No
35562DCPBLQ44R1DMR8O,Female,No,No,No,30,Yes,Wifi Broadband,No,No,No,No,Bank,18.7031324,623.9999122,No
S97UBE9BI0RA9YY0A5JL,Male,Yes,Yes,No,18,Yes,Satellite Broadband,No,Yes,No,No,Electronic,48.00700727,810.8152022,Yes
YK6EHH80HUYW2YPWWTLZ,Female,Yes,Yes,No,5,Yes,Wifi Broadband,Yes,No,Yes,No,Electronic,64.16894412,475.6430072,No
UUJWFKWLE0WULNX6X9NC,Male,No,Yes,No,64,Yes,Wifi Broadband,Yes,Yes,No,Yes,Electronic,104.9577317,6915.819249,No
1ZOF0YZQ1Z81FJBP2S83,Male,No,No,No,3,Yes,No,No,No,No,Yes,Check,23.74892018,84.10186157,No
QGLRXZN07NM3R0I9SBOG,Male,No,No,No,53,Yes,Wifi Broadband,No,Yes,Yes,Yes,Bank,81.89741273,4233.228884,No
Q77730G8N3F76CEPYQG7,Male,No,No,No,41,No,Satellite Broadband,No,No,No,No,Check,19.99316728,807.3795985,No
5GUFZDM8UJR14PKCPS8R,Male,No,No,Yes,40,Yes,No,Yes,No,No,No,Check,53.85687128,2140.315567,Yes
AM0C4NBZ0FI6BDR3RR7Y,Male,Yes,Yes,No,31,Yes,Wifi Broadband,Yes,No,No,No,Electronic,91.04631978,2808.95571,No
GDRS5MS805TCBF64ZPER,Male,No,Yes,Yes,21,Yes,Wifi Broadband,No,No,Yes,Yes,Check,59.54205938,1414.631237,No
